Company Name,Symbol,ISIN Code
ABB India Ltd.,ABB.NS,INE117A01022
ACC Ltd.,ACC.NS,INE012A01025
Aditya Birla Capital Ltd.,ABCAPITAL.NS,INE674K01013
Ambuja Cements Ltd.,AMBUJACEM.NS,INE079A01024
Ashok Leyland Ltd.,ASHOKLEY.NS,INE208A01029
Aurobindo Pharma Ltd.,AUROPHARMA.NS,INE406A01037
Avenue Supermarts Ltd.,DMART.NS,INE192R01011
Bandhan Bank Ltd.,BANDHANBNK.NS,INE545U01014
Bank of Baroda,BANKBARODA.NS,INE028A01039
Bharat Electronics Ltd.,BEL.NS,INE263A01024
Bharat Heavy Electricals Ltd.,BHEL.NS,INE257A01026
Biocon Ltd.,BIOCON.NS,INE376G01013
Bosch Ltd.,BOSCHLTD.NS,INE323A01026
Britannia Industries Ltd.,BRITANNIA.NS,INE216A01030
Cadila Healthcare Ltd.,CADILAHC.NS,INE010B01027
Colgate Palmolive (India) Ltd.,COLPAL.NS,INE259A01022
Container Corporation of India Ltd.,CONCOR.NS,INE111A01025
DLF Ltd.,DLF.NS,INE271C01023
Dabur India Ltd.,DABUR.NS,INE016A01026
General Insurance Corporation of India,GICRE.NS,INE481Y01014
Godrej Consumer Products Ltd.,GODREJCP.NS,INE102D01028
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,INE795G01014
Havells India Ltd.,HAVELLS.NS,INE176B01034
Hindustan Zinc Ltd.,HINDZINC.NS,INE267A01025
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,INE726G01019
InterGlobe Aviation Ltd.,INDIGO.NS,INE646L01027
L&T Finance Holdings Ltd.,L&TFH.NS,INE498L01015
LIC Housing Finance Ltd.,LICHSGFIN.NS,INE115A01026
Lupin Ltd.,LUPIN.NS,INE326A01037
MRF Ltd.,MRF.NS,INE883A01011
Marico Ltd.,MARICO.NS,INE196A01026
Motherson Sumi Systems Ltd.,MOTHERSUMI.NS,INE775A01035
NHPC Ltd.,NHPC.NS,INE848E01016
NMDC Ltd.,NMDC.NS,INE584A01023
Oil India Ltd.,OIL.NS,INE274J01014
Oracle Financial Services Software Ltd.,OFSS.NS,INE881D01027
Petronet LNG Ltd.,PETRONET.NS,INE347G01014
Pidilite Industries Ltd.,PIDILITIND.NS,INE318A01026
Piramal Enterprises Ltd.,PEL.NS,INE140A01024
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS,INE179A01014
SBI Life Insurance Company Ltd.,SBILIFE.NS,INE123W01016
Shree Cement Ltd.,SHREECEM.NS,INE070A01015
Shriram Transport Finance Co. Ltd.,SRTRANSFIN.NS,INE721A01013
Siemens Ltd.,SIEMENS.NS,INE003A01024
Steel Authority of India Ltd.,SAIL.NS,INE114A01011
Sun TV Network Ltd.,SUNTV.NS,INE424H01027
The New India Assurance Company Ltd.,NIACL.NS,INE470Y01017
United Spirits Ltd.,MCDOWELL-N.NS,INE854D01024
Vodafone Idea Ltd.,IDEA.NS,INE669E01016
