Company Name,Symbol
ABB India Ltd.,ABB.NS
ACC Ltd.,ACC.NS
AU Small Finance Bank Ltd.,AUBANK.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS
Adani Power Ltd.,ADANIPOWER.NS
Aditya Birla Capital Ltd.,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS
Alkem Laboratories Ltd.,ALKEM.NS
Amara Raja Batteries Ltd.,AMARAJABAT.NS
Ambuja Cements Ltd.,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE.NS
Ashok Leyland Ltd.,ASHOKLEY.NS
Asian Paints Ltd.,ASIANPAINT.NS
Aurobindo Pharma Ltd.,AUROPHARMA.NS
Avenue Supermarts Ltd.,DMART.NS
Axis Bank Ltd.,AXISBANK.NS
Bajaj Auto Ltd.,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS
Balkrishna Industries Ltd.,BALKRISIND.NS
Bandhan Bank Ltd.,BANDHANBNK.NS
Bank of Baroda,BANKBARODA.NS
Bank of India,BANKINDIA.NS
Bata India Ltd.,BATAINDIA.NS
Berger Paints India Ltd.,BERGEPAINT.NS
Bharat Electronics Ltd.,BEL.NS
Bharat Forge Ltd.,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,BHEL.NS
Bharat Petroleum Corporation Ltd.,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL.NS
Bharti Infratel Ltd.,INFRATEL.NS
Biocon Ltd.,BIOCON.NS
Bombay Burmah Trading Corporation Ltd.,BBTC.NS
Bosch Ltd.,BOSCHLTD.NS
Britannia Industries Ltd.,BRITANNIA.NS
Cadila Healthcare Ltd.,CADILAHC.NS
Canara Bank,CANBK.NS
Castrol India Ltd.,CASTROLIND.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS
Cipla Ltd.,CIPLA.NS
Coal India Ltd.,COALINDIA.NS
Colgate Palmolive (India) Ltd.,COLPAL.NS
Container Corporation of India Ltd.,CONCOR.NS
Coromandel International Ltd.,COROMANDEL.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS
Cummins India Ltd.,CUMMINSIND.NS
DLF Ltd.,DLF.NS
Dabur India Ltd.,DABUR.NS
Dewan Housing Finance Corporation Ltd.,DHFL.NS
Dilip Buildcon Ltd.,DBL.NS
Dish TV India Ltd.,DISHTV.NS
Divi's Laboratories Ltd.,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
Edelweiss Financial Services Ltd.,EDELWEISS.NS
Eicher Motors Ltd.,EICHERMOT.NS
Endurance Technologies Ltd.,ENDURANCE.NS
Engineers India Ltd.,ENGINERSIN.NS
Escorts Ltd.,ESCORTS.NS
Exide Industries Ltd.,EXIDEIND.NS
Federal Bank Ltd.,FEDERALBNK.NS
Future Consumer Ltd.,FCONSUMER.NS
Future Retail Ltd.,FRETAIL.NS
GAIL (India) Ltd.,GAIL.NS
GMR Infrastructure Ltd.,GMRINFRA.NS
General Insurance Corporation of India,GICRE.NS
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS
Godrej Agrovet Ltd.,GODREJAGRO.NS
Godrej Consumer Products Ltd.,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND.NS
Graphite India Ltd.,GRAPHITE.NS
Grasim Industries Ltd.,GRASIM.NS
Gruh Finance Ltd.,GRUH.NS
Gujarat State Petronet Ltd.,GSPL.NS
H.E.G. Ltd.,HEG.NS
HCL Technologies Ltd.,HCLTECH.NS
HDFC Asset Management Company Ltd.,HDFCAMC.NS
HDFC Bank Ltd.,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS
Havells India Ltd.,HAVELLS.NS
Hero MotoCorp Ltd.,HEROMOTOCO.NS
Hexaware Technologies Ltd.,HEXAWARE.NS
Hindalco Industries Ltd.,HINDALCO.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Hindustan Zinc Ltd.,HINDZINC.NS
Housing & Urban Development Corporation Ltd.,HUDCO.NS
Housing Development Finance Corporation Ltd.,HDFC.NS
ICICI Bank Ltd.,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS
IDBI Bank Ltd.,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
ITC Ltd.,ITC.NS
Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS
Indiabulls Ventures Ltd.,IBVENTURES.NS
Indian Bank,INDIANB.NS
Indian Hotels Co. Ltd.,INDHOTEL.NS
Indian Oil Corporation Ltd.,IOC.NS
Indraprastha Gas Ltd.,IGL.NS
IndusInd Bank Ltd.,INDUSINDBK.NS
Info Edge (India) Ltd.,NAUKRI.NS
Infosys Ltd.,INFY.NS
InterGlobe Aviation Ltd.,INDIGO.NS
JSW Energy Ltd.,JSWENERGY.NS
JSW Steel Ltd.,JSWSTEEL.NS
Jindal Steel & Power Ltd.,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD.NS
Jubilant Life Sciences Ltd.,JUBILANT.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
L&T Finance Holdings Ltd.,L&TFH.NS
L&T Technology Services Ltd.,LTTS.NS
LIC Housing Finance Ltd.,LICHSGFIN.NS
Larsen & Toubro Infotech Ltd.,LTI.NS
Larsen & Toubro Ltd.,LT.NS
Lupin Ltd.,LUPIN.NS
MRF Ltd.,MRF.NS
Mahanagar Gas Ltd.,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M.NS
Manappuram Finance Ltd.,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS
Marico Ltd.,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI.NS
Max Financial Services Ltd.,MFSL.NS
MindTree Ltd.,MINDTREE.NS
Motherson Sumi Systems Ltd.,MOTHERSUMI.NS
MphasiS Ltd.,MPHASIS.NS
Muthoot Finance Ltd.,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM.NS
NBCC (India) Ltd.,NBCC.NS
NHPC Ltd.,NHPC.NS
NMDC Ltd.,NMDC.NS
NTPC Ltd.,NTPC.NS
National Aluminium Co. Ltd.,NATIONALUM.NS
Oberoi Realty Ltd.,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,ONGC.NS
Oil India Ltd.,OIL.NS
Oracle Financial Services Software Ltd.,OFSS.NS
PI Industries Ltd.,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING.NS
Page Industries Ltd.,PAGEIND.NS
Petronet LNG Ltd.,PETRONET.NS
Pfizer Ltd.,PFIZER.NS
Pidilite Industries Ltd.,PIDILITIND.NS
Piramal Enterprises Ltd.,PEL.NS
Power Finance Corporation Ltd.,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID.NS
Prestige Estates Projects Ltd.,PRESTIGE.NS
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS
Punjab National Bank,PNB.NS
Quess Corp Ltd.,QUESS.NS
RBL Bank Ltd.,RBLBANK.NS
REC Ltd.,RECLTD.NS
Rajesh Exports Ltd.,RAJESHEXPO.NS
Reliance Capital Ltd.,RELCAPITAL.NS
Reliance Industries Ltd.,RELIANCE.NS
Reliance Infrastructure Ltd.,RELINFRA.NS
Reliance Power Ltd.,RPOWER.NS
SBI Life Insurance Company Ltd.,SBILIFE.NS
SRF Ltd.,SRF.NS
Shree Cement Ltd.,SHREECEM.NS
Shriram Transport Finance Co. Ltd.,SRTRANSFIN.NS
Siemens Ltd.,SIEMENS.NS
State Bank of India,SBIN.NS
Steel Authority of India Ltd.,SAIL.NS
Sterlite Technologies Ltd.,STRTECH.NS
Sun Pharma Advanced Research Company Ltd.,SPARC.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV.NS
Syngene International Ltd.,SYNGENE.NS
TVS Motor Company Ltd.,TVSMOTOR.NS
Tata Chemicals Ltd.,TATACHEM.NS
Tata Consultancy Services Ltd.,TCS.NS
Tata Global Beverages Ltd.,TATAGLOBAL.NS
Tata Motors Ltd DVR,TATAMTRDVR.NS
Tata Motors Ltd.,TATAMOTORS.NS
Tata Power Co. Ltd.,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL.NS
Tech Mahindra Ltd.,TECHM.NS
The New India Assurance Company Ltd.,NIACL.NS
The Ramco Cements Ltd.,RAMCOCEM.NS
Titan Company Ltd.,TITAN.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER.NS
UPL Ltd.,UPL.NS
UltraTech Cement Ltd.,ULTRACEMCO.NS
Union Bank of India,UNIONBANK.NS
United Breweries Ltd.,UBL.NS
United Spirits Ltd.,MCDOWELL-N.NS
V-Guard Industries Ltd.,VGUARD.NS
Varroc Engineering Ltd.,VARROC.NS
Vedanta Ltd.,VEDL.NS
Vodafone Idea Ltd.,IDEA.NS
Voltas Ltd.,VOLTAS.NS
Wipro Ltd.,WIPRO.NS
Yes Bank Ltd.,YESBANK.NS
Zee Entertainment Enterprises Ltd.,ZEEL.NS
